SourceWell,DestWell,PPVol,DilVol,DivideCounter
A1,A1,0.0,0.0,1
B1,B1,16.34877384196185,283.6512261580381,1
C1,C1,42.3728813559322,107.62711864406779,2
C1,C1,42.3728813559322,107.62711864406779,2
D1,D1,20.127474002012747,279.8725259979873,1
E1,E1,26.99055330634278,273.0094466936572,1
F1,F1,23.672187546851205,276.3278124531488,1
G1,G1,32.0,268.0,1
H1,H1,24.156728856823065,275.84327114317693,1
A2,A2,0.0,0.0,1
B2,B2,19.011406844106464,280.9885931558935,1
C2,C2,44.91017964071857,105.08982035928143,2
C2,C2,44.91017964071857,105.08982035928143,2
D2,D2,45.84632312488539,254.15367687511463,1
E2,E2,36.60768761439902,263.392312385601,1
F2,F2,28.846153846153847,121.15384615384616,2
F2,F2,28.846153846153847,121.15384615384616,2
G2,G2,33.840947546531304,66.1590524534687,3
G2,G2,33.840947546531304,66.1590524534687,3
G2,G2,33.840947546531304,66.1590524534687,3
H2,H2,44.725386129166914,255.2746138708331,1
A3,A3,14.820889549790778,285.17911045020924,1
B3,B3,34.73026163463765,265.26973836536234,1
C3,C3,22.970903522205205,277.0290964777948,1
D3,D3,46.80187207488299,103.198127925117,2
D3,D3,46.80187207488299,103.198127925117,2
E3,E3,27.487126862252847,272.51287313774714,1
F3,F3,11.627906976744185,288.37209302325584,1
G3,G3,30.075187969924812,269.9248120300752,1
H3,H3,32.233802514236594,117.7661974857634,2
H3,H3,32.233802514236594,117.7661974857634,2
A4,A4,18.808777429467085,281.1912225705329,1
B4,B4,16.934801016088063,283.06519898391196,1
C4,C4,0.0,0.0,1
D4,D4,31.18503118503119,268.81496881496884,1
E4,E4,25.239990240537107,274.7600097594629,1
F4,F4,0.0,0.0,1
G4,G4,13.183915622940013,286.81608437706,1
H4,H4,27.573529411764703,122.4264705882353,2
H4,H4,27.573529411764703,122.4264705882353,2
A5,A5,12.644889357218124,287.3551106427819,1
B5,B5,35.43376838126735,264.5662316187327,1
C5,C5,36.407766990291265,113.59223300970874,2
C5,C5,36.407766990291265,113.59223300970874,2
D5,D5,38.684719535783366,61.315280464216634,3
D5,D5,38.684719535783366,61.315280464216634,3
D5,D5,38.684719535783366,61.315280464216634,3
E5,E5,41.084071705399815,258.9159282946002,1
F5,F5,25.495330901952215,274.50466909804777,1
G5,G5,18.028846153846153,281.97115384615387,1
H5,H5,30.03003003003003,119.96996996996997,2
H5,H5,30.03003003003003,119.96996996996997,2
A6,A6,14.771048744460858,285.22895125553913,1
B6,B6,41.88364722800061,258.1163527719994,1
C6,C6,49.54010271314629,250.4598972868537,1
D6,D6,21.164021164021165,278.83597883597884,1
E6,E6,47.637195121951216,252.3628048780488,1
F6,F6,15.237553458416718,284.7624465415833,1
G6,G6,20.364801477126935,279.63519852287305,1
H6,H6,19.029495718363464,280.9705042816365,1
A7,A7,43.342579750346744,256.6574202496532,1
B7,B7,22.288261515601782,277.7117384843982,1
C7,C7,19.37784208350558,280.6221579164944,1
D7,D7,15.889830508474578,284.1101694915254,1
E7,E7,47.46835443037975,252.53164556962025,1
F7,F7,16.090104585679807,283.9098954143202,1
G7,G7,19.874130506790326,280.1258694932097,1
H7,H7,0.0,0.0,1
A8,A8,37.220843672456574,112.77915632754343,2
A8,A8,37.220843672456574,112.77915632754343,2
B8,B8,26.631158455392807,273.3688415446072,1
C8,C8,40.13377926421405,259.86622073578593,1
D8,D8,19.10828025477707,280.89171974522293,1
E8,E8,34.48275862068966,115.51724137931035,2
E8,E8,34.48275862068966,115.51724137931035,2
F8,F8,13.66742596810934,286.33257403189066,1
G8,G8,30.074283480196083,269.9257165198039,1
H8,H8,27.958993476234856,122.04100652376515,2
H8,H8,27.958993476234856,122.04100652376515,2
A9,A9,19.900497512437813,280.0995024875622,1
B9,B9,27.17071359350801,272.829286406492,1
C9,C9,14.862521674510777,285.1374783254892,1
D9,D9,23.595850276464713,276.4041497235353,1
E9,E9,21.36752136752137,278.63247863247864,1
F9,F9,0.0,0.0,1
G9,G9,35.17823639774859,264.8217636022514,1
H9,H9,46.63526558783752,253.36473441216248,1
A10,A10,37.59398496240601,112.40601503759399,2
A10,A10,37.59398496240601,112.40601503759399,2
B10,B10,16.45395361082012,283.5460463891799,1
C10,C10,0.0,0.0,1
D10,D10,15.236160487557134,284.76383951244287,1
E10,E10,0.0,0.0,1
F10,F10,25.68757064081926,274.3124293591807,1
G10,G10,20.37351443123939,279.6264855687606,1
H10,H10,14.642932100723849,285.35706789927616,1
A11,A11,18.275967103259216,281.72403289674077,1
B11,B11,25.353683890269256,274.6463161097307,1
C11,C11,12.615643397813288,287.3843566021867,1
D11,D11,24.862633947440393,275.1373660525596,1
E11,E11,27.075812274368232,122.92418772563177,2
E11,E11,27.075812274368232,122.92418772563177,2
F11,F11,8.935219657483247,291.06478034251677,1
G11,G11,21.405636817695324,278.5943631823047,1
H11,H11,28.585040495474036,271.41495950452594,1
A12,A12,25.495330901952215,274.50466909804777,1
B12,B12,28.33878067673008,271.6612193232699,1
C12,C12,15.186028853454822,284.81397114654516,1
D12,D12,22.973542137305202,277.02645786269477,1
E12,E12,39.46641408161654,260.53358591838344,1
F12,F12,36.96857670979667,263.03142329020335,1
G12,G12,17.056114617090227,282.9438853829098,1
H12,H12,7.419314949919624,292.5806850500804,1
